,Topic,Word,Tweets
0,23,good,@MajinDaburaOCE @Kairuxo @EmJaeCaer @PetrifyTCG But good lesson for anyone interested in getting into the space on doing research on a project team and buying into projects you trust I guess
1,23,good,"Great opportunity that I won't miss it because I trust this project has good prospect ,we will to the moon together

@nandar_pemimpi 
@Sandifauzan92 
@sarang_semut_

#metaverse #trias #NFT #triathon"
0,23,want,"@James_Glohe either we are patient and trust that they will roll it out when ready, or we get impatient and just want a mp, regardless if its a good one or not. but I don't think i have seen anywhere that ""we are never getting a mp in dec"" so if that was said would love to know where."
1,23,want,"Our genesis NFT began with the theme of SING. We want to be inclusive, not exclusive. 

Want utility? We are extending until May 1 an IRL gift of the 39-card Gratitude Blooming deck for all holders of at least 2 SING NFTs. Get yours today👇🏽

https://t.co/ieeiWQjgOV"
0,23,trust,"AFTER GETTING YOUR FISRT NFT SALE WHAT NEXT?

Today I'll tell you what you will hardly hear in those spaces, What you will hardly see on your timeline.
As a total noob just diving into Nft,
You know how to mint your nfts but trust me the work is not done 

Yet..."
1,23,trust,"For reasons completely separate from NFT dipshits, I don't trust people with monkey fursonas. Except orangutans. If you have an Organutan fursona I immediately trust you enough I'll give you a loaded gun aimed at me"
0,23,nft,"There are so many things I love about @psychedelic_nft Here are 3....
1. Transparency - Voltura goes above and beyond with being transparent. He doesn’t even need to be but he does it to bring confidence in the project.
@BAYC2745 @bxneNFT @GoldSkull_PA"
1,23,nft,@gami_nft trust and confidence.All In. To the moon soon.
0,23,member,"🚨 Announcement 🚨

#Hbarbarians, I am actively looking for team members for my #NFT project. 

There has recently been a few incidents which has tarnished the trust of the community. This is why I'm looking for genuine members that the community can trust.

1/4"
1,23,member,"Here are Why our NFT collection unique. 
1:- Offers exclusive community membership pass.
2:- Holders as community member have a real equity stake in the business. Hence are inline to recieve real stock in the business.
3:- It is a real legacy piece.

#newnftproject
#newNFTs
#nft"
0,23,win,"I'm tired of tweeting about the same topic for two days.  Every time people start following me, it freezes my #Twitter account.  But how can people trust me?  I am not a robot, no one else is using my account.
#nft #nftart #nfts #nftcollector #nftartist #nftcommunity #opensea"
1,23,win,@SportsCheetah hey cheetah. I understand I'm pretty late to the punkscomics project you're involved in. As a NFT noob here there are so many scammy ppl out there that it's hard to know who to trust. After following you for years I trust the stuff you do. Is there any sort of..
0,23,giveaway,"@CryptoTownEU ✓✓✓This is excellent project for the future with strong team, a transparent, planned and project roadmap. it will be successfulI. Always be waiting.

 @BulbulMostak @Sahinkh13452908 
  @SyedRehanZakir1

#BZC #BZCarmy #NFT

#Airdrop #Crypto #Airdrops #cryptocurrency #giveaway"
1,23,giveaway,"This is excellent project for the future with strong team, a transparent, planned and project roadmap. it will be successfulI. Always be waiting for the progress of this project. To the moon 🚀🚀🛩
 
@hana19836
@A_Amouei
@alihajihasani2

#BabyAngel #NFT #BSC #giveaway"
0,23,question,"If you want a chuckle. look around in this space or go out on Google and read people tying themselves into knots trying to answer ""What is an NFT?""

(But you really shouldn't ask people dropping tens of thousands of dollars on NFTs day-in-and-day-out that question. Trust me.🙂🍻)"
1,23,question,a really great community @diverse that takes time for your questions. 🥰 #NFT  #DIVERSE https://t.co/T7CCEMrmsl
0,23,join,"If you haven't joined the Discord Maasphere, what are you waiting for? Please don't pass the opportunity to be part of the most diverse project on #Solana #NFTs #NFT #crypto #Metaverse #CryptoGaming 

https://t.co/i8bju3e7OR"
1,23,join,"https://t.co/zJUVccrlOH
Diverse is finally here... they're already verified on twitter 😍❤️ join the community soon guys see you
#nft
#Discord 
#WAGMI 
#community 
#cryptocurrency"
0,23,discord,"@nft_for_life_ Say hello to Antalus’s Eeyore! Our one of a kind black #NFT cat is part of a diverse #NFTcollection that we’re currently designing specifically for you! To find out more on how to gain exclusive access to our #minecraftrserver, head to our discord: https://t.co/ybH7VejxLo #P2E https://t.co/auq14kBjRy"
1,23,discord,"So, @AneroVerse ‘s discord was hacked today with a fake minting site created &amp; members Eth stolen. 

But, remarkable measures taken by Anero &amp; they are refunding lost money from their own pockets. My trust in Anero remains!! Waiting for the new server!! #NFT"
