,User,Tweets,Url,likeCount,retweetCount,followersCount,metionedUsers
1276,CMcbitchen,"#SaitamaWolfPack‌ , there is so much to be bullish about:
•Saitamask 
•SaitaCity/Metaverse Project 
•SaitaEdutainment
•FANG/NFT Projects
•SaitaRealty
•Eagle FC MMA Partnerships
•Play To Earn Gaming
•Winner Most Transparent Project of 2022 at The Dubai Crypto Expo
🐺🐺🐺🐺 https://t.co/gBvdhIuNOs",https://twitter.com/CMcbitchen/status/1517459054146179073,2,0,5588,
3995,NFTs_with_Nick,"Come hang out with me in @ZardBlocks discord :) come get in early with some WL spots and maybe even some OG roles left. I am too excited for this game and I'm not just saying that, the whitepaper is extensive and transparent. Seems like a super fun gun!! #NFT #NFT #NFTCommunity https://t.co/FeK1VpUZ6b",https://twitter.com/NFTs_with_Nick/status/1494940228854947848,9,2,683,['ZardBlocks']
15339,TrnVnQu42852660,"@nft_marvel good project and strong team, in a predictable and transparent road map, planned and projected. I think in the near future I will see an unprecedented growth of this project.
@ClarkMitchelArt
@mang_kebot
@dkt_finance
$MV #nft #bsc #Marvel",https://twitter.com/TrnVnQu42852660/status/1404433153230475270,1,0,20,['nft_marvel']
12108,eric13natas,"@projectquantum_ Project Quantum, great team, totally transparent, NFT's looks amazing. Love to get in early. Such huge potential. Let's go!!!!!@cryptomanran",https://twitter.com/eric13natas/status/1444294958572347396,2,0,3,['projectquantum_']
5086,rezvaexe,"@Kaloh_nft @fx_hash_ (2/2) And I personally find it even more interesting. I would even use the word ""better"" 👀 In so far as it's applicable to the art. So PNGs are fine, but it would be fair to label/tag them on #fxhash for sure. More transparent for artists and collectors.",https://twitter.com/rezvaexe/status/1486830280891588610,1,0,3158,"['Kaloh_nft', 'fx_hash_']"
4716,BrandonKicksETH,@ABmaniwaters @psychedelic_nft @BAYC2745 Ooooo a purple transparent 😏😏🔥🔥,https://twitter.com/BrandonKicksETH/status/1490131747480256513,2,1,1336,"['ABmaniwaters', 'psychedelic_nft', 'BAYC2745']"
4427,Beno1t_eth,"@dylw4nx @Cryptocoinhunt8 @psychedelic_nft @BAYC2745 It IS a blue chip* 

Fixed it for you.

Name another project that has monthly, fully transparent updates about where each dollar is going, plans for the future, and updates us on trends. 

We operate like a fortune 500 company, not some willy nilly hype project 😂",https://twitter.com/Beno1t_eth/status/1492138684132610056,5,1,4277,"['dylw4nx', 'Cryptocoinhunt8', 'psychedelic_nft', 'BAYC2745']"
13371,Henry_DuongVan,"@WAX_io Awesome project and strong team, in a predictable and transparent road map, planned and projected.

qpagu.wam

#NFTs #Blockchain #NFT",https://twitter.com/Henry_DuongVan/status/1436131633757765640,0,0,298,['WAX_io']
9402,tundeakinbs,"@SolanaPlay A good project and a strong team in a predictable and transparent road map ,I think in the near future we will see an unprecedented growth of this project @sguriev @cjuf_emenike @Dyui4_wal 

sol address:  5eiSyZpmvBybnyoq9uDjg3FNcnUAVXRYWHNHr9asA5Q8

#SolanaAirdrop #SOL #NFT",https://twitter.com/tundeakinbs/status/1455243117259599874,1,0,43,"['solanaplay', 'sguriev', 'cjuf_emenike', 'Dyui4_wal']"
7029,sdakash1312,"@airdropinspect A good projectSmiling face with heart-shaped eyes in a predictable and transparent road map,
,this is very interesting project.
@MdMarzanIslam1
@Shihab6261
@kanak678707
#Airdrop #Airdrops #Airdropinspector #GuardiansofFashion #USDT  #NFT #Crypto #Bitcoin",https://twitter.com/sdakash1312/status/1466725674681438209,0,0,24,"['airdropinspect', 'MdMarzanIslam1', 'kanak678707']"
5048,JoacoFisch,"Steps:
- A DAO is formed with a defined set of goals
- Community votes which project should be funded
- Project generates IP / Property rights through open and collaborative work, which is then stored in an NFT to ensure transparent tracking https://t.co/MQgqhmXsTJ",https://twitter.com/JoacoFisch/status/1487087037434019850,4,0,460,
10355,WhatsGoody7,"@_BeastNode @thedivinenft I minted, do your own DD, I have not seen a more transparent team on the NFT market.",https://twitter.com/WhatsGoody7/status/1452402017838698502,12,1,1671,"['_Beastnode', 'thedivinenft']"
1726,COGI_NETWORK,"Thank you for always accompanying and supporting 9D NFT. Let's create a TRANSPARENT - FAIR playground for gamers!🥰🥰🥰
#9DNFT $COGI #Metaverse #COGIVERSE #GameFi",https://twitter.com/COGI_NETWORK/status/1513517979979292672,4,0,73867,
14339,RIckyP31539143,"@SURVIVAL_NFT This is an excellent project for the future with a strong team, a transparent, well-planned and clear project roadmap. Always waiting for the progress of this project

@Yahya2817 @KepoAnjim7 @dimas220302",https://twitter.com/RIckyP31539143/status/1425730131339874306,1,0,12,"['SURVIVAL_NFT', 'Yahya2817', 'KepoAnjim7', 'dimas220302']"
8763,joybasak095,"A good project and strong team in a predictable and transparent road map , planned and projected. I think in the near future we will see an unprecedented growth of this project.
 
@BasakKausik1 

#NFT  #NFTCommunity",https://twitter.com/joybasak095/status/1457888852266213381,2,1,2825,['BasakKausik1']
2566,GIGACHAD2021,"@AshleyDCan everyone, your community, IS your influencer(s).  Be transparent, be honest and help solve real world problems and your NFT project WILL SUCCEED.",https://twitter.com/GIGACHAD2021/status/1507076544208031757,5,0,8181,['AshleyDCan']
12531,Kiran56048844,"@fund_neuron This is excellent project for the future with strong team, a transparent, planned and project roadmap. it will be successfulI. Always be waiting for the progress of this project.

@ayubms1122_s
@Ayubms17
@SA_Uchsas

$NF #NeuronFund #BSC #NFT #NF🚀",https://twitter.com/Kiran56048844/status/1442159632986738697,2,0,52,"['ayubms1122_s', 'Ayubms17', 'SA_Uchsas']"
4632,AnthonyLilian9,@SafemarsINU #SafmarsInu METAMARS NFT will be definitely be a successful project with a strong team and transparent road map. #SafmarsInu to the moon.,https://twitter.com/AnthonyLilian9/status/1490776312864296960,6,4,46,['SafemarsINU']
1515,dasher_tt,transparent giveaways on live video - worth to check this projects @FoodMoon_NFT,https://twitter.com/dasher_tt/status/1515040671610118148,1,0,235,['FoodMoon_NFT']
14790,tranthithanhx13,#cryptocurrency #nftart #DeFi $eth $dot $btc #nft #blockchain #Crypto #lending A good project and strong team in a predictable and transparent road map planned and projected. I think in the near future,https://twitter.com/tranthithanhx13/status/1416225514352648197,1,0,1939,
11641,Zamii277,"@EtherLeagueNFT This is excellent project for the future with strong team, a transparent, planned and project roadmap. it will be successfulI. I am very happy to be participating in this project.

@IchaValen2 
@rizanug__ 
@imizu30 
 
#EtherLeague #NFT #Ethereum #Airdrop",https://twitter.com/Zamii277/status/1446155106567614464,1,0,180,"['EtherLeagueNFT', 'IchaValen2', 'rizanug__', 'imizu30']"
1195,CryptoG0pnik,Looking for the next blue chip NFT project? Look no further than @ToxicSkullsClub great community and roadmap! Fully doxxed and transparent founders. Sold out 9999 supply of hand drawn art in under 18 hours! #ToxicSkulls #NFT #OpenSeaNFT #NFTCommunity #BAYC #MAYC,https://twitter.com/CryptoG0pnik/status/1518266344206127105,5,0,1112,['ToxicSkullsClub']
