,User,Tweets,Url,likeCount,retweetCount,followersCount,metionedUsers
2130,TimmyEgbe,"@nfts_watch @un_equali This NFT depicts anonimity linked with equality, it's says ""Our uniqueness are lost in the shadows, we become shades, wraiths, losing all identify""
https://t.co/GbrbPhvxJY",https://twitter.com/TimmyEgbe/status/1463648378018050054,2,1,97,"['nfts_watch', 'un_equali']"
2131,TimmyEgbe,"@hiesenbergNFT This NFT depicts anonimity linked with equality, it's says ""Our uniqueness are lost in the shadows, we become shades, wraiths, losing all identify""
https://t.co/GbrbPhvxJY",https://twitter.com/TimmyEgbe/status/1463644468918296576,1,0,97,['hiesenbergNFT']
2132,Flavit01,NFT projects are not a Monarchy or Hiarchy. We are transitioning from centralized to decentralized. Community is Equality for all. Not the select few. If projects continue with that mindsets and behavior you seal the nail in your project's coffin. Hope this is helpful.,https://twitter.com/Flavit01/status/1463563970321821699,1,1,2211,
2133,EqualityforWe,"Equality ecosystem consists of 4 platforms:

1- EquVerse: NFT Marketing 
2- EquPlay: Game Platform 
3- EquShare: Social Platform 
4- EquLearn: Education Platform 

@EqualityforWe #EqualityforWe #cryptocurrency #NGO #NFTs https://t.co/uTyQiliRlZ",https://twitter.com/EqualityforWe/status/1463561648988434437,10,4,28,['EqualityforWe']
2134,SwissGuyNFT,"!!!This sale goes to AIDS Support!!! 
plan for the 12/1/21 AIDS DAY: 
Campaign key messages and call to action
1. Re-commit to end HIV
2. Tackle HIV and COVID-19 together
3. Focus on equality
4. Concentrate on those left behind
#NFT #who #SIDA #aidsresearch  #AIDS  #VIH https://t.co/Xpc5ajW6HJ",https://twitter.com/SwissGuyNFT/status/1463525825534439424,2,0,277,
2135,snarkdotart,"WHO'S DAT PANDA? 🐼 blind #NFTdrop is live!

Collecting = supporting the Cryptoart Panda #NFTcommunity. A project where artists united striving for inclusivity and equality. 

https://t.co/sXvy2ChoJ8

Find your panda. Collect your #NFT.

Curated by @ArtOnbd.

Enjoy! 🐼❤️ https://t.co/YauYpkSZeO",https://twitter.com/snarkdotart/status/1463507702739443722,7,2,9053,['ArtOnbd']
2136,SilentsReturn,"Just minted and released ""LGBTQ and Equality "" collectible! https://t.co/UmAsRZvneO #rarible #ethereum #flow #nonfungible #digitalasset #nft via @rarible",https://twitter.com/SilentsReturn/status/1463503108131151872,1,0,119,['rarible']
2137,NftTakeoff,Exciting videos coming up! #NFT and charity utility? We say YES to #equality in the #Metaverse,https://twitter.com/NftTakeoff/status/1463448157136769025,0,0,89,
2138,Mahsa_se_nft,@samanehliaghat @techbubble My main objective is to send a message of unity and equality between all cultures and beliefs of the world.,https://twitter.com/Mahsa_se_nft/status/1463433740462424067,1,0,2666,"['samanehliaghat', 'techbubble']"
2139,Dz_Nft,@monoliff @JasonLewis1986 I believe that there is an equality to all humanity. We all sucks. https://t.co/Iy5ZqFL6ze,https://twitter.com/Dz_Nft/status/1463422927500685315,9,2,1171,"['monoliff', 'JasonLewis1986']"
